
  KODETABELL produsert av FxTell 2015.02.18 - 13:55:51
  Gjelder for alle filer i kjøringen. Filnavnene finnes i VOLUMTABELL
--------------------------------------------------------------------------------------------------------------------------------------------------
Hvor SOSINavn                                         Verdi                                                   Ant  Tekst                          
  G ..ANLEGGID                                        271                                                       1   - 
  G ..ANLEGGID                                        272                                                       1   - 
  G ..ANLEGGID                                        273                                                       1   - 
  G ..ANLEGGID                                        274                                                       1   - 
  G ..ANLEGGID                                        276                                                       1   - 
  G ..ANLEGGID                                        282                                                       1   - 
  G ..ANLEGGID                                        283                                                       1   - 
  G ..ANLEGGID                                        284                                                       1   - 
  G ..ANLEGGID                                        286                                                       1   - 
  G ..ANLEGGID                                        287                                                       1   - 
  G ..ANLEGGID                                        291                                                       1   - 
  G ..ANLEGGID                                        293                                                       1   - 
  G ..ANLEGGID                                        295                                                       1   - 
  G ..ANLEGGID                                        296                                                       1   - 
  G ..ANLEGGID                                        3                                                         1   - 
  G ..ANLEGGID                                        304                                                       1   - 
  G ..ANLEGGID                                        305                                                       1   - 
  G ..ANLEGGID                                        307                                                       1   - 
  G ..ANLEGGID                                        308                                                       1   - 
  G ..ANLEGGID                                        31                                                        1   - 
  G ..ANLEGGID                                        311                                                       1   - 
  G ..ANLEGGID                                        312                                                       1   - 
  G ..ANLEGGID                                        317                                                       1   - 
  G ..ANLEGGID                                        319                                                       1   - 
  G ..ANLEGGID                                        320                                                       1   - 
  G ..ANLEGGID                                        321                                                       1   - 
  G ..ANLEGGID                                        322                                                       1   - 
  G ..ANLEGGID                                        324                                                       1   - 
  G ..ANLEGGID                                        325                                                       1   - 
  G ..ANLEGGID                                        326                                                       1   - 
  G ..ANLEGGID                                        327                                                       1   - 
  G ..ANLEGGID                                        328                                                       1   - 
  G ..ANLEGGID                                        329                                                       1   - 
  G ..ANLEGGID                                        335                                                       1   - 
  G ..ANLEGGID                                        336                                                       1   - 
  G ..ANLEGGID                                        34                                                        1   - 
  G ..ANLEGGID                                        347                                                       1   - 
  G ..ANLEGGID                                        34716                                                     1   - 
  G ..ANLEGGID                                        348                                                       1   - 
  G ..ANLEGGID                                        349                                                       1   - 
  G ..ANLEGGID                                        35                                                        1   - 
  G ..ANLEGGID                                        350                                                       1   - 
  G ..ANLEGGID                                        352                                                       1   - 
  G ..ANLEGGID                                        353                                                       1   - 
  G ..ANLEGGID                                        354                                                       1   - 
  G ..ANLEGGID                                        355                                                       1   - 
  G ..ANLEGGID                                        357                                                       1   - 
  G ..ANLEGGID                                        358                                                       1   - 
  G ..ANLEGGID                                        359                                                       1   - 
  G ..ANLEGGID                                        36                                                        1   - 
  G ..ANLEGGID                                        360                                                       1   - 
  G ..ANLEGGID                                        361                                                       1   - 
  G ..ANLEGGID                                        362                                                       1   - 
  G ..ANLEGGID                                        363                                                       1   - 
  G ..ANLEGGID                                        364                                                       1   - 
  G ..ANLEGGID                                        365                                                       1   - 
  G ..ANLEGGID                                        367                                                       1   - 
  G ..ANLEGGID                                        368                                                       1   - 
  G ..ANLEGGID                                        37                                                        1   - 
  G ..ANLEGGID                                        370                                                       1   - 
  G ..ANLEGGID                                        371                                                       1   - 
  G ..ANLEGGID                                        372                                                       1   - 
  G ..ANLEGGID                                        373                                                       1   - 
  G ..ANLEGGID                                        374                                                       1   - 
  G ..ANLEGGID                                        375                                                       1   - 
  G ..ANLEGGID                                        376                                                       1   - 
  G ..ANLEGGID                                        377                                                       1   - 
  G ..ANLEGGID                                        378                                                       1   - 
  G ..ANLEGGID                                        379                                                       1   - 
  G ..ANLEGGID                                        381                                                       1   - 
  G ..ANLEGGID                                        382                                                       1   - 
  G ..ANLEGGID                                        383                                                       1   - 
  G ..ANLEGGID                                        384                                                       1   - 
  G ..ANLEGGID                                        385                                                       1   - 
  G ..ANLEGGID                                        386                                                       1   - 
  G ..ANLEGGID                                        387                                                       1   - 
  G ..ANLEGGID                                        38771                                                     1   - 
  G ..ANLEGGID                                        38772                                                     1   - 
  G ..ANLEGGID                                        38783                                                     1   - 
  G ..ANLEGGID                                        38790                                                     1   - 
  G ..ANLEGGID                                        388                                                       1   - 
  G ..ANLEGGID                                        38870                                                     1   - 
  G ..ANLEGGID                                        389                                                       1   - 
  G ..ANLEGGID                                        390                                                       1   - 
  G ..ANLEGGID                                        392                                                       1   - 
  G ..ANLEGGID                                        394                                                       1   - 
  G ..ANLEGGID                                        395                                                       1   - 
  G ..ANLEGGID                                        397                                                       1   - 
  G ..ANLEGGID                                        399                                                       1   - 
  G ..ANLEGGID                                        4                                                         1   - 
  G ..ANLEGGID                                        40                                                        1   - 
  G ..ANLEGGID                                        401                                                       1   - 
  G ..ANLEGGID                                        402                                                       1   - 
  G ..ANLEGGID                                        404                                                       1   - 
  G ..ANLEGGID                                        405                                                       1   - 
  G ..ANLEGGID                                        406                                                       1   - 
  G ..ANLEGGID                                        407                                                       1   - 
  G ..ANLEGGID                                        408                                                       1   - 
  G ..ANLEGGID                                        409                                                       1   - 
  G ..ANLEGGID                                        410                                                       1   - 
  G ..ANLEGGID                                        412                                                       1   - 
  G ..ANLEGGID                                        413                                                       1   - 
  G ..ANLEGGID                                        414                                                       1   - 
  G ..ANLEGGID                                        415                                                       1   - 
  G ..ANLEGGID                                        417                                                       1   - 
  G ..ANLEGGID                                        425                                                       1   - 
  G ..ANLEGGID                                        428                                                       1   - 
  G ..ANLEGGID                                        431                                                       1   - 
  G ..ANLEGGID                                        432                                                       1   - 
  G ..ANLEGGID                                        434                                                       1   - 
  G ..ANLEGGID                                        435                                                       1   - 
  G ..ANLEGGID                                        436                                                       1   - 
  G ..ANLEGGID                                        437                                                       1   - 
  G ..ANLEGGID                                        438                                                       1   - 
  G ..ANLEGGID                                        43865                                                     1   - 
  G ..ANLEGGID                                        440                                                       1   - 
  G ..ANLEGGID                                        441                                                       1   - 
  G ..ANLEGGID                                        442                                                       1   - 
  G ..ANLEGGID                                        44211                                                     1   - 
  G ..ANLEGGID                                        443                                                       1   - 
  G ..ANLEGGID                                        444                                                       1   - 
  G ..ANLEGGID                                        445                                                       1   - 
  G ..ANLEGGID                                        446                                                       1   - 
  G ..ANLEGGID                                        447                                                       1   - 
  G ..ANLEGGID                                        448                                                       1   - 
  G ..ANLEGGID                                        44852                                                     1   - 
  G ..ANLEGGID                                        449                                                       1   - 
  G ..ANLEGGID                                        45                                                        1   - 
  G ..ANLEGGID                                        450                                                       1   - 
  G ..ANLEGGID                                        453                                                       1   - 
  G ..ANLEGGID                                        454                                                       1   - 
  G ..ANLEGGID                                        45457                                                     1   - 
  G ..ANLEGGID                                        455                                                       1   - 
  G ..ANLEGGID                                        456                                                       1   - 
  G ..ANLEGGID                                        459                                                       1   - 
  G ..ANLEGGID                                        460                                                       1   - 
  G ..ANLEGGID                                        461                                                       1   - 
  G ..ANLEGGID                                        462                                                       1   - 
  G ..ANLEGGID                                        463                                                       1   - 
  G ..ANLEGGID                                        464                                                       1   - 
  G ..ANLEGGID                                        465                                                       1   - 
  G ..ANLEGGID                                        466                                                       1   - 
  G ..ANLEGGID                                        467                                                       1   - 
  G ..ANLEGGID                                        468                                                       1   - 
  G ..ANLEGGID                                        469                                                       1   - 
  G ..ANLEGGID                                        47                                                        1   - 
  G ..ANLEGGID                                        470                                                       1   - 
  G ..ANLEGGID                                        472                                                       1   - 
  G ..ANLEGGID                                        473                                                       1   - 
  G ..ANLEGGID                                        476                                                       1   - 
  G ..ANLEGGID                                        478                                                       1   - 
  G ..ANLEGGID                                        48                                                        1   - 
  G ..ANLEGGID                                        480                                                       1   - 
  G ..ANLEGGID                                        481                                                       1   - 
  G ..ANLEGGID                                        483                                                       1   - 
  G ..ANLEGGID                                        484                                                       1   - 
  G ..ANLEGGID                                        485                                                       1   - 
  G ..ANLEGGID                                        486                                                       1   - 
  G ..ANLEGGID                                        487                                                       1   - 
  G ..ANLEGGID                                        49                                                        1   - 
  G ..ANLEGGID                                        490                                                       1   - 
  G ..ANLEGGID                                        491                                                       1   - 
  G ..ANLEGGID                                        493                                                       1   - 
  G ..ANLEGGID                                        494                                                       1   - 
